GCF_001754725.1_ViralProj344610.fna,50,3,0.06,14,5,28,0.29,0.1,0.58,0.48,1018,447,634,0.48,0.21,0.3,10757,8644,10999,9918,40318,GCF_001754725.1_ViralProj344610.fna,1,0.48,546,1034,729,11519,9218,11979,10887,TRUE,43603,3285,0.24,0.45,0.32,0.08,1336,1949,0.41,99,16,95
GCF_001551425.1_ViralProj310941.fna,50,1,0.02,13,14,22,0.26,0.28,0.44,0.49,457,313,647,0.32,0.22,0.46,7702,7010,8956,6654,30322,GCF_001551425.1_ViralProj310941.fna,1,0.48,334,457,707,8026,7200,9463,7015,TRUE,31704,1382,0.22,0.31,0.47,0.04,514,868,0.37,21,0,60
GCF_001550945.1_ViralProj310911.fna,50,4,0.08,5,15,26,0.11,0.32,0.55,0.31,669,598,1138,0.28,0.25,0.47,5835,3245,11929,8197,29206,GCF_001550945.1_ViralProj310911.fna,1,0.3,662,686,1327,6297,3781,13437,10084,TRUE,33599,4393,0.25,0.26,0.5,0.13,998,3395,0.23,64,17,189
GCF_001505275.1_ViralProj307960.fna,50,3,0.06,9,10,28,0.19,0.21,0.58,0.44,810,309,716,0.44,0.17,0.39,8035,5921,9781,8188,31925,GCF_001505275.1_ViralProj307960.fna,1,0.43,334,806,762,8322,6240,10287,8908,TRUE,33757,1832,0.18,0.42,0.4,0.05,606,1226,0.33,25,-4,46
GCF_001504855.1_ViralProj307876.fna,50,1,0.02,20,10,19,0.4,0.2,0.38,0.45,827,263,481,0.53,0.17,0.31,7728,6856,9659,7930,32173,GCF_001504855.1_ViralProj307876.fna,1,0.45,307,818,483,8089,7308,9929,8851,TRUE,34177,2004,0.19,0.51,0.3,0.06,813,1191,0.41,44,-9,2
GCF_001504455.1_ViralProj307958.fna,50,3,0.06,8,2,37,0.17,0.04,0.77,0.49,1031,210,618,0.55,0.11,0.33,9665,8263,9621,8957,36506,GCF_001504455.1_ViralProj307958.fna,1,0.48,263,1082,729,10483,9117,10790,10088,TRUE,40478,3972,0.13,0.52,0.35,0.1,1672,2300,0.42,53,51,111
GCF_001504055.1_ViralProj307878.fna,50,1,0.02,18,10,21,0.36,0.2,0.42,0.46,836,231,400,0.57,0.16,0.27,7979,6952,9704,7847,32482,GCF_001504055.1_ViralProj307878.fna,1,0.46,252,860,441,8366,7223,9898,8670,TRUE,34157,1675,0.16,0.55,0.28,0.05,658,1017,0.39,21,24,41
GCF_001503455.1_ViralProj307919.fna,50,3,0.06,17,9,21,0.35,0.19,0.44,0.41,853,441,1006,0.37,0.19,0.44,8636,7124,13038,9710,38508,GCF_001503455.1_ViralProj307919.fna,1,0.41,461,833,1040,8942,7326,13518,10215,TRUE,40001,1493,0.2,0.36,0.45,0.04,508,985,0.34,20,-20,34
GCF_001501875.1_ViralProj307720.fna,50,2,0.04,13,9,26,0.27,0.18,0.53,0.41,834,441,1004,0.37,0.19,0.44,8650,7178,13093,9824,38745,GCF_001501875.1_ViralProj307720.fna,1,0.41,450,819,1034,8902,7357,13541,10225,TRUE,40025,1280,0.2,0.36,0.45,0.03,431,849,0.34,9,-15,30
GCF_001310175.1_ViralProj298082.fna,50,4,0.08,12,4,30,0.26,0.09,0.64,0.37,665,412,768,0.36,0.22,0.42,5646,4431,9615,7684,27376,GCF_001310175.1_ViralProj298082.fna,1,0.36,416,567,875,5398,5269,9710,9133,TRUE,29510,2134,0.22,0.31,0.47,0.07,590,1544,0.28,4,-98,107
GCF_001308535.1_ViralProj298066.fna,50,1,0.02,18,6,25,0.36,0.12,0.5,0.52,683,236,640,0.44,0.15,0.41,10438,9221,9819,8195,37673,GCF_001308535.1_ViralProj298066.fna,1,0.51,332,634,721,10673,10631,10299,10030,TRUE,41633,3960,0.2,0.38,0.43,0.1,1645,2315,0.42,96,-49,81
GCF_001041795.1_ViralProj287975.fna,50,4,0.08,10,11,25,0.21,0.23,0.53,0.39,953,381,564,0.5,0.2,0.3,6974,5506,10842,8512,31834,GCF_001041795.1_ViralProj287975.fna,1,0.39,428,944,636,7323,5706,11231,9497,TRUE,33757,1923,0.21,0.47,0.32,0.06,549,1374,0.29,47,-9,72
