GCF_000836925.1_ViralProj14039.fna,10.00,1.00,0.10,2.00,1.00,6.00,0.20,0.10,0.60,0.43,146.00,28.00,128.00,0.48,0.09,0.42,1565.00,1378.00,1920.00,1965.00,6828.00,GCF_000836925.1_ViralProj14039.fna,1.00,0.44,35.00,178.00,150.00,1948.00,1748.00,2324.00,2435.00,TRUE,8455.00,1627.00,0.10,0.49,0.41,0.19,753.00,874.00,0.46,7.00,32.00,22.00
GCF_000838705.1_ViralProj14073.fna,9.00,2.00,0.22,4.00,0.00,3.00,0.50,0.00,0.38,0.49,163.00,61.00,87.00,0.52,0.20,0.28,1926.00,1735.00,1984.00,1819.00,7464.00,GCF_000838705.1_ViralProj14073.fna,1.00,0.48,72.00,173.00,103.00,2105.00,1875.00,2189.00,2206.00,TRUE,8375.00,911.00,0.21,0.50,0.30,0.11,319.00,592.00,0.35,11.00,10.00,16.00
GCF_000857945.1_ViralProj15128.fna,168.00,6.00,0.04,32.00,21.00,109.00,0.20,0.13,0.67,0.41,2559.00,1192.00,2850.00,0.39,0.18,0.43,30169.00,29640.00,45781.00,38746.00,144336.00,GCF_000857945.1_ViralProj15128.fna,1.00,0.40,1498.00,2621.00,3565.00,31953.00,31505.00,47831.00,47194.00,TRUE,158483.00,14147.00,0.19,0.34,0.46,0.09,3649.00,10498.00,0.26,306.00,62.00,715.00
GCF_000857925.1_ViralProj15124.fna,45.00,2.00,0.04,15.00,4.00,24.00,0.34,0.09,0.55,0.40,734.00,360.00,762.00,0.40,0.19,0.41,6765.00,5661.00,10561.00,8343.00,31330.00,GCF_000857925.1_ViralProj15124.fna,1.00,0.39,406.00,783.00,875.00,7433.00,6171.00,11937.00,9276.00,TRUE,34817.00,3487.00,0.20,0.38,0.42,0.10,1178.00,2309.00,0.34,46.00,49.00,113.00
GCF_000857905.1_ViralMultiSegProj15120.fna,3.00,1.00,0.33,1.00,0.00,1.00,0.33,0.00,0.33,0.57,86.00,30.00,50.00,0.52,0.18,0.30,1866.00,2364.00,1517.00,1626.00,7373.00,GCF_000857905.1_ViralMultiSegProj15120.fna,2.00,0.57,38.00,92.00,52.00,2001.00,2537.00,1636.00,1812.00,TRUE,7986.00,613.00,0.21,0.51,0.29,0.08,308.00,305.00,0.50,8.00,6.00,2.00
GCF_000857885.1_ViralProj15115.fna,37.00,2.00,0.05,11.00,7.00,17.00,0.31,0.19,0.47,0.50,569.00,261.00,380.00,0.47,0.22,0.31,8277.00,8770.00,9256.00,8001.00,34304.00,GCF_000857885.1_ViralProj15115.fna,1.00,0.49,332.00,577.00,428.00,8521.00,8489.00,9061.00,8725.00,TRUE,34796.00,492.00,0.25,0.43,0.32,0.01,-37.00,529.00,-0.08,71.00,8.00,48.00
GCF_000857865.1_ViralProj15107.fna,36.00,1.00,0.03,11.00,8.00,16.00,0.31,0.22,0.44,0.56,496.00,214.00,305.00,0.49,0.21,0.30,9276.00,10033.00,8066.00,6992.00,34367.00,GCF_000857865.1_ViralProj15107.fna,1.00,0.55,280.00,519.00,401.00,9761.00,10076.00,8371.00,7732.00,TRUE,35940.00,1573.00,0.23,0.43,0.33,0.04,528.00,1045.00,0.34,66.00,23.00,96.00
GCF_000857845.1_ViralProj15101.fna,31.00,1.00,0.03,6.00,8.00,16.00,0.19,0.26,0.52,0.47,496.00,349.00,463.00,0.38,0.27,0.35,7004.00,7270.00,8434.00,7345.00,30053.00,GCF_000857845.1_ViralProj15101.fna,1.00,0.47,367.00,497.00,534.00,7087.00,7274.00,8286.00,7892.00,TRUE,30539.00,486.00,0.26,0.36,0.38,0.02,87.00,399.00,0.18,18.00,1.00,71.00
GCF_000857825.1_ViralProj15096.fna,3.00,1.00,0.33,1.00,1.00,0.00,0.33,0.33,0.00,0.43,276.00,136.00,130.00,0.51,0.25,0.24,2435.00,1960.00,2953.00,2806.00,10154.00,GCF_000857825.1_ViralProj15096.fna,1.00,0.44,89.00,174.00,89.00,1669.00,1381.00,2030.00,1920.00,TRUE,7000.00,-3154.00,0.25,0.49,0.25,-0.45,-1345.00,-1809.00,0.43,-47.00,-102.00,-41.00
GCF_000857805.1_ViralProj15092.fna,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,184.00,52.00,80.00,0.58,0.16,0.25,1508.00,1490.00,1826.00,1892.00,6716.00,GCF_000857805.1_ViralProj15092.fna,1.00,0.45,57.00,189.00,82.00,1602.00,1587.00,1921.00,2008.00,TRUE,7118.00,402.00,0.17,0.58,0.25,0.06,191.00,211.00,0.48,5.00,5.00,2.00
GCF_000857785.1_ViralProj15087.fna,2.00,1.00,0.50,1.00,0.00,0.00,0.50,0.00,0.00,0.50,178.00,52.00,65.00,0.60,0.18,0.22,1896.00,1759.00,1854.00,1845.00,7354.00,GCF_000857785.1_ViralProj15087.fna,1.00,0.49,56.00,179.00,69.00,1913.00,1759.00,1885.00,1886.00,TRUE,7443.00,89.00,0.18,0.59,0.23,0.01,17.00,72.00,0.19,4.00,1.00,4.00
